"","knn_t_f_glpk_30","rxn_id","rxn_name"
"X61",0.00121951219512195,"61","'5''-nucleotidase (UMP)'"
"X301",0.00121951219512195,"301","'dihydrofolate reductase'"
"X302",0.00121951219512195,"302","'dihydrofolate synthase'"
"X303",0.00121951219512195,"303","'dihydroneopterin aldolase'"
"X305",0.00121951219512195,"305","'dihydroorotase'"
"X357",0.00975609756097562,"357","'glucan 1,4-alpha-glucosidase, vacuole'"
"X368",0.0109756097560976,"368","'glutamine synthetase'"
"X385",0.00121951219512195,"385","'glycerophosphodiester phosphodiesterase (glycerophosphocholine)'"
"X406",0.00121951219512195,"406","'GPI-anchor assembly, step 9'"
"X410",0.0219512195121951,"410","'guanine phosphoribosyltransferase'"
"X411",0.0158536585365854,"411","'guanylate kinase'"
"X430",0.00121951219512195,"430","'homoserine kinase'"
"X669",0.0024390243902439,"669","'peroxisomal acyl-CoA thioesterase'"
"X673",0.00121951219512195,"673","'phenylpyruvate decarboxylase'"
"X698",0.00121951219512195,"698","'phosphoribosylanthranilate isomerase'"
"X699",0.00121951219512195,"699","'phosphoribosylglycinamidine synthetase'"
"X737",0.0158536585365854,"737","'ribokinase'"
"X741",0.0121951219512195,"741","'ribonucleoside-triphosphate reductase (UTP)'"
"X992",0.00121951219512195,"992","'thiamine diphosphate transport'"
"X1152",0.00121951219512195,"1152","'3-octaprenyl-4-hydroxybenzoate transport'"
"X1153",0.00121951219512195,"1153","'4-amino-5-hydroxymethyl-2-methylpyrimidine synthetase'"
"X1154",0.00121951219512195,"1154","'4-aminobenzoate exchange'"
"X1155",0.00121951219512195,"1155","'4-aminobenzoate transport'"
"X1275",0.00121951219512195,"1275","'dGDP transport'"
"X1278",0.00121951219512195,"1278","'dihydrofolate transport'"
"X1279",0.00121951219512195,"1279","'dihydroneopterin triphosphate pyrophosphatase'"
"X1327",0.00121951219512195,"1327","'glycine transport'"
"X1536",0.00121951219512195,"1536","'thiamine(1+) diphosphate(1-) exchange'"
"X1540",0.00121951219512195,"1540","'thiazole phosphate synthesis (ribose 5-phosphate)'"
"X1580",0.0024390243902439,"1580","'acetaldehyde dehydrogenase'"
